Character ,Voiced by ,Description/role ,First appearance 
"Terwilliger, Cecil",David Hyde Pierce[57] ,Sideshow Bob's younger brother.[58] ,"""Brother from Another Series"""
"Tightlips, Johnny",Hank Azaria[12] ,One of Fat Tony's henchmen.[20] ,"""Insane Clown Poppy"""
Üter ,Russi Taylor[8] ,Student at Springfield Elementary School. ,"""Treehouse of Horror IV"""
"Van Houten, Kirk",Hank Azaria[2] ,Milhouse Van Houten's father; factory worker. ,"""Bart's Friend Falls in Love"""
"Van Houten, Luann",Maggie Roswell[8] ,Kirk Van Houten's wife; Milhouse's mother. ,"""Homer Defined"""
"Van Houten, Milhouse",Pamela Hayden[8] ,Bart Simpson's best friend; Student at Springfield Elementary School. ,"""Simpsons Roasting on an Open Fire"""
﻿Dr. Velimirovic ,Hank Azaria[12] ,Plastic surgeon.[59] ,"""Pygmoelian"""
Veterinarian ,Hank Azaria[2] ,Veterinarian.[60] ,"""Dog of Death"""
"Wiggum, Chief Clancy",Hank Azaria[2] ,Springfield Chief of Police. ,"""Homer's Odyssey"""
"Wiggum, Ralph",Nancy Cartwright[2] ,Student at Springfield Elementary School. ,"""Moaning Lisa"""
"Wiggum, Sarah",Pamela Hayden[11] ,Chief Wiggum's wife; Ralph Wiggum's mother. ,"""Duffless"""
Groundskeeper Willie ,Dan Castellaneta[2] ,Janitor of Springfield Elementary School. ,"""Principal Charming"""
Wiseguy ,Hank Azaria[12] ,Service industry. ,"""The Way We Was"""
"Wolfcastle, Rainier",Harry Shearer[8] ,Actor; star of McBain films. ,"""The Way We Was"""
Yes Guy[12] ,Dan Castellaneta[12] ,Service industry. ,"""Mayored to the Mob"""
"Ziff, ArtieArtie Ziff ","Jon Lovitz,[61] Dan Castellaneta[45] ",Former billionaire.[62] ,"""The Way We Was"
